"codeinsee";"libdpt";"libsubcom";"popsubcom";"nompsn";"prepsn";"civpsn";"naissance";"csp";"libcsp"
"01019";"AIN";"Armix";20;"VUILLOUD";"Véronique";"F";1964-08-28;23;"Salariés du secteur médical"
"01021";"AIN";"Ars-sur-Formans";1374;"PACCAUD";"Richard";"M";1952-11-21;61;"Retraités salariés privés"
"01022";"AIN";"Artemare";1140;"CHARMONT-MUNET";"Mireille";"F";1952-05-17;60;"Retraités des professions libérales"
"01023";"AIN";"Asnières-sur-Saône";73;"WILLEMS";"Jean-Marc";"M";1951-09-30;61;"Retraités salariés privés"
"01024";"AIN";"Attignat";3023;"MARTIN";"Walter";"M";1966-05-07;18;"Cadres supérieurs (secteur privé)"
"01025";"AIN";"Bâgé-la-Ville";3114;"REPIQUET";"Dominique";"M";1949-05-06;47;"Fonctionnaires de catégorie A"
"01026";"AIN";"Bâgé-le-Châtel";786;"THEVENOT";"Jean-claude";"M";1946-06-27;61;"Retraités salariés privés"
"01027";"AIN";"Balan";2498;"BOUVIER";"Gérard";"M";1953-07-31;1;"Agriculteurs propriétaires exploit."
"01028";"AIN";"Baneins";567;"GRANGE";"Jean-Pierre";"M";1964-05-28;1;"Agriculteurs propriétaires exploit."
"01029";"AIN";"Beaupont";650;"GOULY";"Georges";"M";1951-05-25;59;"Retr.artis.commerc.chefs d'entrep."
"01030";"AIN";"Beauregard";867;"DOMPOINT";"Daniel";"M";1951-04-01;59;"Retr.artis.commerc.chefs d'entrep."
"01031";"AIN";"Bellignat";3590;"ARBANT";"Jean-Georges";"M";1949-02-11;61;"Retraités salariés privés"
"01032";"AIN";"Béligneux";3040;"SIGOIRE";"Francis";"M";1953-01-12;37;"Journalistes et autres médias"
"01033";"AIN";"Bellegarde-sur-Valserine";11630;"PETIT";"Régis";"M";1956-04-06;42;"Professeurs du secondaire et techn."
"01034";"AIN";"Belley";8761;"JIMENEZ";"Christian";"M";1950-02-28;61;"Retraités salariés privés"
"01035";"AIN";"Belleydoux";323;"DURAFFOURG";"Madeleine";"F";1951-06-18;62;"Retraités de l'enseignement"
"01036";"AIN";"Belmont-Luthézieu";527;"GODET";"Pauline";"F";1982-05-12;52;"Employés (autres entrep. publiques)"
"01037";"AIN";"Bénonces";273;"RIGHETTI";"Sylvie";"F";1965-04-14;44;"Professions rattachées à enseignt."
"01038";"AIN";"Bény";714;"BAVOUX";"Patrick";"M";1957-07-25;52;"Employés (autres entrep. publiques)"
"01039";"AIN";"Béon";401;"DUPONT";"Jean-Marc";"M";1964-01-23;17;"Agents d'assurances"
"01040";"AIN";"Béréziat";446;"THEVENON";"Jean Jacques";"M";1951-09-15;61;"Retraités salariés privés"
"01041";"AIN";"Bettant";731;"FEZZOLI";"Jean-Félix";"M";1956-02-15;64;"Retraités des entreprises publiques"
"01042";"AIN";"Bey";247;"GENTIL";"Michel";"M";1949-10-06;62;"Retraités de l'enseignement"
"01043";"AIN";"Beynost";4471;"NICOD";"Michel";"M";1943-05-08;59;"Retr.artis.commerc.chefs d'entrep."
"01044";"AIN";"Billiat";516;"BEAUQUIS";"Jean-Marc";"M";1955-11-29;63;"Retraités fonct.publique (sf enseig.)"
"01045";"AIN";"Birieux";251;"CHRISTOLHOMME";"François";"M";1940-09-27;61;"Retraités salariés privés"
"01046";"AIN";"Biziat";807;"GIRAUD";"Christian";"M";1963-03-21;5;"Industriels-Chefs entreprise"
"01047";"AIN";"Blyes";907;"MARTIN";"Daniel";"M";1951-02-08;1;"Agriculteurs propriétaires exploit."
"01049";"AIN";"La Boisse";2908;"DROGUE";"François";"M";1949-10-30;61;"Retraités salariés privés"
"01050";"AIN";"Boissey";292;"TIRREAU";"Andrée";"F";1950-05-09;63;"Retraités fonct.publique (sf enseig.)"
"01051";"AIN";"Bolozon";92;"BARDET";"Guy";"M";1952-03-28;64;"Retraités des entreprises publiques"
"01052";"AIN";"Bouligneux";309;"COMTET";"Laurent";"M";1968-06-02;42;"Professeurs du secondaire et techn."
"01053";"AIN";"Bourg-en-Bresse";39882;"DEBAT";"Jean François";"M";1966-01-24;46;"Grands corps de l'état"
"01054";"AIN";"Bourg-Saint-Christophe";1201;"PERRET";"Bernard";"M";1952-06-09;1;"Agriculteurs propriétaires exploit."
"01056";"AIN";"Boyeux-Saint-Jérôme";339;"CHAPEL";"Marie-Christine";"F";1965-06-12;49;"Fonctionnaires de catégorie C"
"01057";"AIN";"Boz";498;"JOUBERT-LAURENCIN";"Monique";"F";1958-09-30;49;"Fonctionnaires de catégorie C"
"01058";"AIN";"Brégnier-Cordon";862;"CHAHINE";"Raynald";"M";1973-05-26;57;"Sans profession déclarée"
"01059";"AIN";"Brénaz";92;"MARTINOD";"Pascale";"F";1962-08-15;47;"Fonctionnaires de catégorie A"
"01060";"AIN";"Brénod";543;"CARRIER";"Annie";"F";1954-06-28;57;"Sans profession déclarée"
"01061";"AIN";"Brens";1184;"PAITA";"Jean-Marc";"M";1960-04-28;52;"Employés (autres entrep. publiques)"
"01062";"AIN";"Bressolles";742;"BEAUVOIS";"Fabrice";"M";1969-02-27;48;"Fonctionnaires de catégorie B"
"01063";"AIN";"Brion";522;"CORTINOVIS";"André";"M";1941-08-12;61;"Retraités salariés privés"
"01064";"AIN";"Briord";902;"LAMBERT";"Jacky";"M";1954-08-10;6;"Administrateurs de sociétés"
"01065";"AIN";"Buellas";1694;"CHANEL";"Michel";"M";1953-10-30;1;"Agriculteurs propriétaires exploit."
"01066";"AIN";"La Burbanche";74;"MARIE";"Patrick";"M";1958-06-29;15;"Contremaitres"
"01067";"AIN";"Ceignes";261;"AUBOEUF";"Alain";"M";1961-06-14;43;"Enseignants 1er deg.-directeurs école"
"01068";"AIN";"Cerdon";741;"GOY-CHAVENT";"Sylvie";"F";1963-05-23;42;"Professeurs du secondaire et techn."
"01069";"AIN";"Certines";1447;"THOMAS";"Eric";"M";1963-07-01;15;"Contremaitres"
"01071";"AIN";"Cessy";4167;"BOUVIER";"Christophe";"M";1963-05-06;28;"Pharmaciens"
"01072";"AIN";"Ceyzériat";2838;"FLOCHON";"Jean-Yves";"M";1958-08-15;19;"Autres cadres (secteur privé)"
"01073";"AIN";"Ceyzérieu";954;"REUTER";"Bernard";"M";1946-07-18;61;"Retraités salariés privés"
"01074";"AIN";"Chalamont";2365;"BENMEDJAHED";"Ali";"M";1960-12-13;42;"Professeurs du secondaire et techn."
"01075";"AIN";"Chaleins";1156;"GROS";"Gilbert";"M";1941-06-04;5;"Industriels-Chefs entreprise"
"01076";"AIN";"Chaley";133;"PERSICO";"Jean-Paul";"M";1949-05-18;19;"Autres cadres (secteur privé)"
"01077";"AIN";"Challes-la-Montagne";175;"CUTURIER";"Marie-Christine";"F";1956-06-23;23;"Salariés du secteur médical"
"01078";"AIN";"Challex";1268;"CHAPPUIS";"Claude";"M";1962-11-27;14;"Agents technique et techniciens"
"01079";"AIN";"Champagne-en-Valromey";771;"JUILLET";"Claude";"M";1952-10-13;1;"Agriculteurs propriétaires exploit."
"01080";"AIN";"Champdor";465;"MARTINAND";"Stéphane";"M";1970-02-27;1;"Agriculteurs propriétaires exploit."
"01081";"AIN";"Champfromier";676;"DE SOUZA";"Michel";"M";1958-09-14;9;"Commercants"
"01082";"AIN";"Chanay";627;"CALDAIROU";"Henri";"M";1958-06-30;63;"Retraités fonct.publique (sf enseig.)"
"01083";"AIN";"Chaneins";810;"FLAMAND";"Patrice";"M";1970-05-19;5;"Industriels-Chefs entreprise"
"01084";"AIN";"Chanoz-Châtenay";713;"MORANDAT";"Olivier";"M";1969-02-14;14;"Agents technique et techniciens"
"01085";"AIN";"La Chapelle-du-Châtelard";357;"RIMAUD";"Cyrille";"M";1960-05-05;1;"Agriculteurs propriétaires exploit."
"01087";"AIN";"Charix";289;"PALISSON";"Didier";"M";1964-07-14;49;"Fonctionnaires de catégorie C"
"01088";"AIN";"Charnoz-sur-Ain";913;"GUYADER";"Jean-Louis";"M";1949-04-22;34;"Experts comptables"
"01089";"AIN";"Château-Gaillard";1830;"BRUNET";"Joël";"M";1955-05-02;5;"Industriels-Chefs entreprise"
"01090";"AIN";"Châtenay";352;"CHAFFARD";"Cyrille";"M";1972-07-02;1;"Agriculteurs propriétaires exploit."
"01091";"AIN";"Châtillon-en-Michaille";3134;"PERREARD";"Patrick";"M";1963-06-29;33;"Agents généraux d'assurances"
"01092";"AIN";"Châtillon-la-Palud";1583;"MICHON";"André";"M";1947-12-15;61;"Retraités salariés privés"
"01093";"AIN";"Châtillon-sur-Chalaronne";4940;"CLAYETTE";"Yves";"M";1952-08-15;22;"Assistantes sociales"
"01094";"AIN";"Chavannes-sur-Reyssouze";697;"MOREL";"Paul";"M";1948-10-16;58;"Retraités agricoles"
"01095";"AIN";"Chavannes-sur-Suran";638;"LAURENT";"Jean Jacques";"M";1953-01-21;61;"Retraités salariés privés"
"01096";"AIN";"Chaveyriat";943;"JACQUET";"Claude";"M";1956-08-29;14;"Agents technique et techniciens"
"01097";"AIN";"Chavornay";209;"SERPOL";"Robert";"M";1952-09-19;64;"Retraités des entreprises publiques"
"01098";"AIN";"Chazey-Bons";775;"BONNARD";"Didier";"M";1959-09-03;13;"Ingénieurs"
"01099";"AIN";"Chazey-sur-Ain";1520;"DULOT";"René";"M";1948-03-02;63;"Retraités fonct.publique (sf enseig.)"
"01100";"AIN";"Cheignieu-la-Balme";159;"BUET";"Marc";"M";1958-06-13;14;"Agents technique et techniciens"
"01101";"AIN";"Chevillard";160;"ROLANDEZ";"Jean-Paul";"M";1951-01-12;61;"Retraités salariés privés"
"01102";"AIN";"Chevroux";938;"SAVOT";"Dominique";"M";1962-07-03;19;"Autres cadres (secteur privé)"
"01103";"AIN";"Chevry";1269;"RAVOT";"Jean-François";"M";1947-09-05;61;"Retraités salariés privés"
"01104";"AIN";"Chézery-Forens";449;"VUAILLAT";"Bernard";"M";1956-08-14;63;"Retraités fonct.publique (sf enseig.)"
"01105";"AIN";"Civrieux";1347;"BEGUET";"Marie Jeanne";"F";1949-04-17;62;"Retraités de l'enseignement"
"01106";"AIN";"Cize";172;"DESBOIS";"Luc";"M";1965-01-31;1;"Agriculteurs propriétaires exploit."
"01107";"AIN";"Cleyzieu";137;"PEYSSON";"Jean";"M";1950-02-19;62;"Retraités de l'enseignement"
"01108";"AIN";"Coligny";1160;"RAFFIN";"Bruno";"M";1961-07-16;10;"Artisans"
"01109";"AIN";"Collonges";1979;"DUPARC";"André";"M";1946-10-07;59;"Retr.artis.commerc.chefs d'entrep."
"01110";"AIN";"Colomieu";112;"JULLIARD";"Gérard";"M";1953-06-27;1;"Agriculteurs propriétaires exploit."
"01111";"AIN";"Conand";102;"CHABERT";"Gérard";"M";1953-03-05;61;"Retraités salariés privés"
"01112";"AIN";"Condamine";406;"BRUYAS";"Gérard";"M";1951-09-11;61;"Retraités salariés privés"
"01113";"AIN";"Condeissiat";763;"DUPRE";"Alain";"M";1948-12-20;61;"Retraités salariés privés"
"01114";"AIN";"Confort";539;"JERDELET";"Michel";"M";1953-09-16;64;"Retraités des entreprises publiques"
"01115";"AIN";"Confrançon";1200;"COLAS";"Christiane";"F";1953-10-19;63;"Retraités fonct.publique (sf enseig.)"
"01116";"AIN";"Contrevoz";538;"SAUREL";"Alain";"M";1951-07-19;63;"Retraités fonct.publique (sf enseig.)"
"01117";"AIN";"Conzieu";144;"JANET";"Guy";"M";1943-02-10;64;"Retraités des entreprises publiques"
"01118";"AIN";"Corbonod";1190;"TRAVAIL";"Joseph";"M";1945-09-24;63;"Retraités fonct.publique (sf enseig.)"
"01119";"AIN";"Corcelles";248;"BALLAND";"Alain";"M";1965-01-16;19;"Autres cadres (secteur privé)"
"01121";"AIN";"Corlier";121;"DUPONT";"Jean-François";"M";1962-11-29;49;"Fonctionnaires de catégorie C"
"01122";"AIN";"Cormaranche-en-Bugey";828;"EMIN";"Philippe";"M";1962-07-26;20;"Employés (secteur privé)"
"01123";"AIN";"Cormoranche-sur-Saône";1064;"CHAPPELON";"Yves Augustin";"M";1955-09-08;19;"Autres cadres (secteur privé)"
"01124";"AIN";"Cormoz";644;"RIONDY";"Pierre";"M";1954-06-29;10;"Artisans"
"01125";"AIN";"Corveissiat";612;"MORELET";"Brigitte";"F";1957-04-27;49;"Fonctionnaires de catégorie C"
"01127";"AIN";"Courmangoux";507;"MORNAY";"Mireille";"F";1959-01-09;20;"Employés (secteur privé)"
"01128";"AIN";"Courtes";275;"PALLEGOIX";"Thierry";"M";1971-02-10;47;"Fonctionnaires de catégorie A"
"01129";"AIN";"Crans";266;"CHENOT";"Jean-Marie";"M";1952-05-16;13;"Ingénieurs"
"01130";"AIN";"Cras-sur-Reyssouze";1307;"PERRIN";"Gérard";"M";1959-02-16;19;"Autres cadres (secteur privé)"
"01133";"AIN";"Cressin-Rochefort";376;"PETIT";"Thierry";"M";1965-02-12;18;"Cadres supérieurs (secteur privé)"
"01134";"AIN";"Crottet";1722;"PERRUCHE";"Daniel";"M";1947-03-30;59;"Retr.artis.commerc.chefs d'entrep."
"01135";"AIN";"Crozet";1913;"DONZE";"Dominique";"F";1953-06-26;20;"Employés (secteur privé)"
"01136";"AIN";"Cruzilles-lès-Mépillat";828;"LAY";"Christian";"M";1954-04-28;13;"Ingénieurs"
"01138";"AIN";"Culoz";2924;"ANDRE-MASSE";"Franck";"M";1963-09-22;49;"Fonctionnaires de catégorie C"
"01139";"AIN";"Curciat-Dongalon";454;"CLAPPAZ";"Marie-Laure";"F";1957-05-09;48;"Fonctionnaires de catégorie B"
"01140";"AIN";"Curtafond";714;"GALLET";"Gérard";"M";1951-03-21;61;"Retraités salariés privés"
"01141";"AIN";"Cuzieu";410;"RAMON";"Michel";"M";1945-10-13;61;"Retraités salariés privés"
"01142";"AIN";"Dagneux";4183;"SIMPLEX";"Bernard";"M";1953-08-07;65;"Autres retraités"
"01143";"AIN";"Divonne-les-Bains";8388;"BLANC";"Etienne";"M";1954-08-29;29;"Avocats"
"01144";"AIN";"Dommartin";857;"NOVE-JOSSERAND";"Michel";"M";1956-05-26;1;"Agriculteurs propriétaires exploit."
"01145";"AIN";"Dompierre-sur-Veyle";1210;"BERARD";"Jean";"M";1950-08-19;63;"Retraités fonct.publique (sf enseig.)"
"01146";"AIN";"Dompierre-sur-Chalaronne";391;"MUNERET";"Didier";"M";1959-07-26;19;"Autres cadres (secteur privé)"
"01147";"AIN";"Domsure";469;"PAUGET";"Yvan";"M";1978-07-27;47;"Fonctionnaires de catégorie A"
"01148";"AIN";"Dortan";1934;"DUBARE";"Marianne";"F";1958-11-10;62;"Retraités de l'enseignement"
"01149";"AIN";"Douvres";983;"LIMOUSIN";"Christian";"M";1953-03-25;64;"Retraités des entreprises publiques"
"01150";"AIN";"Drom";211;"GUILLEMOT";"Yves";"M";1957-09-22;48;"Fonctionnaires de catégorie B"
"01151";"AIN";"Druillat";1144;"EMIN";"Jean-Luc";"M";1962-04-14;13;"Ingénieurs"
"01152";"AIN";"Echallon";770;"SAVOYE";"Daniel";"M";1953-06-26;61;"Retraités salariés privés"
"01153";"AIN";"Echenevex";1722;"REBEIX";"Pierre";"M";1947-12-14;60;"Retraités des professions libérales"
"01154";"AIN";"Etrez";800;"GRIGNOLA-BERNARD";"Virginie";"F";1970-12-01;18;"Cadres supérieurs (secteur privé)"
"01155";"AIN";"Evosges";143;"GUILLET";"Christophe";"M";1949-08-16;59;"Retr.artis.commerc.chefs d'entrep."
"01156";"AIN";"Faramans";712;"BROCHIER";"Gérard";"M";1956-10-26;1;"Agriculteurs propriétaires exploit."
"01157";"AIN";"Fareins";2175;"DUMOULIN";"Yves";"M";1955-12-15;64;"Retraités des entreprises publiques"
"01158";"AIN";"Farges";901;"GRAZIOTTI";"Monique";"F";1961-08-22;49;"Fonctionnaires de catégorie C"
"01159";"AIN";"Feillens";3108;"BILLOUDET";"Guy";"M";1959-03-07;56;"Autres professions"
"01160";"AIN";"Ferney-Voltaire";8452;"RAPHOZ";"Daniel";"M";1955-12-06;48;"Fonctionnaires de catégorie B"
"01162";"AIN";"Flaxieu";66;"BAL";"Serge";"M";1956-03-09;62;"Retraités de l'enseignement"
"01163";"AIN";"Foissiat";1961;"FROMONT";"Jean-Pierre";"M";1946-03-23;58;"Retraités agricoles"
"01165";"AIN";"Francheleins";1370;"LECLERC";"Irène";"F";1961-05-30;19;"Autres cadres (secteur privé)"
"01166";"AIN";"Frans";1974;"THEVENET";"Martial";"M";1956-07-11;42;"Professeurs du secondaire et techn."
"01167";"AIN";"Garnerans";660;"VIOT";"Dominique";"M";1961-02-03;35;"Ingénieurs conseils"
"01169";"AIN";"Genouilleux";605;"DESPLACE";"Robert";"M";1947-02-11;59;"Retr.artis.commerc.chefs d'entrep."
"01170";"AIN";"Beard-Géovreissiat";950;"COMTET";"Laurent";"M";1967-12-02;14;"Agents technique et techniciens"
"01171";"AIN";"Géovreisset";912;"MOREL";"Jeannine";"F";1948-06-25;61;"Retraités salariés privés"
"01172";"AIN";"Germagnat";146;"BINARD";"Alain";"M";1948-12-09;59;"Retr.artis.commerc.chefs d'entrep."
"01173";"AIN";"Gex";10446;"DUNAND";"Patrice";"M";1968-10-15;19;"Autres cadres (secteur privé)"
"01174";"AIN";"Giron";166;"TARPIN-LYONNET";"Eric";"M";1963-02-01;12;"Propriétaires"
"01175";"AIN";"Gorrevod";802;"GUILLERMIN";"Henri";"M";1940-12-24;59;"Retr.artis.commerc.chefs d'entrep."
"01176";"AIN";"Le Grand-Abergement";108;"ROCHE";"Jean";"M";1947-04-17;61;"Retraités salariés privés"
"01177";"AIN";"Grand-Corent";167;"CHARLES";"Bernard";"M";1951-06-22;1;"Agriculteurs propriétaires exploit."
"01179";"AIN";"Grièges";1913;"RENOUD";"Joëlle";"F";1957-10-05;20;"Employés (secteur privé)"
"01180";"AIN";"Grilly";775;"HEBERT";"Judith";"F";1970-03-10;52;"Employés (autres entrep. publiques)"
"01181";"AIN";"Groissiat";1153;"MARRON";"Jean-Luc";"M";1951-09-21;33;"Agents généraux d'assurances"
"01182";"AIN";"Groslée";352;"AURELE";"Marthe";"F";1943-02-16;61;"Retraités salariés privés"
"01183";"AIN";"Guéreins";1341;"MORILLON";"Guy";"M";1951-02-01;61;"Retraités salariés privés"
"01184";"AIN";"Hautecourt-Romanèche";791;"AZNAR";"Vincent";"M";1974-07-22;49;"Fonctionnaires de catégorie C"
"01185";"AIN";"Hauteville-Lompnes";3971;"ARGENTI";"Bernard";"M";1951-06-13;1;"Agriculteurs propriétaires exploit."
"01186";"AIN";"Hostiaz";83;"BOUCLIER";"Henriette";"F";1941-04-17;65;"Autres retraités"
"01187";"AIN";"Hotonnes";299;"GENESSAY";"Jean-Louis";"M";1948-01-31;59;"Retr.artis.commerc.chefs d'entrep."
"01188";"AIN";"Illiat";572;"LITAUDON";"Bernard";"M";1948-06-15;65;"Autres retraités"
"01189";"AIN";"Injoux-Génissiat";1102;"COCHET";"Albert";"M";1961-04-25;52;"Employés (autres entrep. publiques)"
"01190";"AIN";"Innimond";116;"NODET";"Eric";"M";1963-11-06;5;"Industriels-Chefs entreprise"
"01191";"AIN";"Izenave";166;"DRUET";"Thiery";"M";1964-07-22;14;"Agents technique et techniciens"
"01192";"AIN";"Izernore";2294;"COLLETAZ";"Michel";"M";1947-10-03;64;"Retraités des entreprises publiques"
"01193";"AIN";"Izieu";201;"MARTIN-BARBAZ";"Denis";"M";1965-03-30;1;"Agriculteurs propriétaires exploit."
"01194";"AIN";"Jassans-Riottier";6044;"REVERCHON";"Jean-Pierre";"M";1949-05-13;24;"Médecins"
"01195";"AIN";"Jasseron";1622;"MATHIEU";"Alain";"M";1959-06-25;51;"Cadres (entreprises publiques)"
"01196";"AIN";"Jayat";1076;"LONGERON";"Robert";"M";1950-03-13;59;"Retr.artis.commerc.chefs d'entrep."
"01197";"AIN";"Journans";332;"SEYZERIAT";"Gérard";"M";1954-03-13;47;"Fonctionnaires de catégorie A"
"01198";"AIN";"Joyeux";237;"BROCARD";"Marius";"M";1942-12-08;58;"Retraités agricoles"
"01199";"AIN";"Jujurieux";2124;"BOLLACHE";"Anne";"F";1966-10-17;42;"Professeurs du secondaire et techn."
"01200";"AIN";"Labalme";204;"MOLLIE";"Frédérique";"F";1968-11-23;20;"Employés (secteur privé)"
"01202";"AIN";"Lagnieu";6785;"MOINGEON";"André";"M";1948-10-26;35;"Ingénieurs conseils"
"01203";"AIN";"Laiz";1148;"ZANCANARO";"Yves";"M";1953-07-05;42;"Professeurs du secondaire et techn."
"01204";"AIN";"Lalleyriat";248;"GOIFFON";"Denis";"M";1956-09-02;9;"Commercants"
"01205";"AIN";"Lancrans";1046;"MAYET";"Christophe";"M";1971-06-10;18;"Cadres supérieurs (secteur privé)"
"01206";"AIN";"Lantenay";260;"LEROY";"Hervé";"M";1955-03-11;64;"Retraités des entreprises publiques"
"01207";"AIN";"Lapeyrouse";295;"DUBOST";"Gilles";"M";1959-04-11;1;"Agriculteurs propriétaires exploit."
"01208";"AIN";"Lavours";151;"WAELPUT";"Daniel";"M";1952-11-12;61;"Retraités salariés privés"
"01209";"AIN";"Léaz";577;"GILLARD";"Alain";"M";1952-07-06;61;"Retraités salariés privés"
"01210";"AIN";"Lélex";227;"MOREL";"Pierre";"M";1945-10-21;59;"Retr.artis.commerc.chefs d'entrep."
"01211";"AIN";"Lent";1357;"PANABIERES";"Marie-Claire";"F";1961-09-17;43;"Enseignants 1er deg.-directeurs école"
"01212";"AIN";"Lescheroux";690;"NICOLIER";"Aimé";"M";1972-05-17;47;"Fonctionnaires de catégorie A"
"01213";"AIN";"Leyment";1265;"BOTTEX";"Marilyn";"F";1976-07-15;48;"Fonctionnaires de catégorie B"
"01214";"AIN";"Leyssard";152;"MOURLEVAT";"Michel";"M";1958-01-18;47;"Fonctionnaires de catégorie A"
"01215";"AIN";"Lhôpital";56;"MALFAIT";"Frédéric";"M";1974-11-28;10;"Artisans"
"01216";"AIN";"Lhuis";872;"ALBERT";"Simon";"M";1947-03-18;61;"Retraités salariés privés"
"01218";"AIN";"Lochieu";93;"BERTHIER";"Gérard";"M";1949-02-24;58;"Retraités agricoles"
"01219";"AIN";"Lompnas";148;"DURAND";"François-Xavier";"M";1962-06-15;1;"Agriculteurs propriétaires exploit."
"01221";"AIN";"Lompnieu";125;"CHARVET";"Marc";"M";1947-09-10;61;"Retraités salariés privés"
"01224";"AIN";"Loyettes";2825;"GAGNE";"Jean-Pierre";"M";1957-09-23;64;"Retraités des entreprises publiques"
"01225";"AIN";"Lurcy";392;"BISIGNANO";"Nathalie";"F";1964-10-15;43;"Enseignants 1er deg.-directeurs école"
"01227";"AIN";"Magnieu";434;"TURELLO";"René";"M";1944-10-31;61;"Retraités salariés privés"
"01228";"AIN";"Maillat";670;"DUCRET";"Jean Cyrille";"M";1958-06-07;5;"Industriels-Chefs entreprise"
"01229";"AIN";"Malafretaz";1018;"VIVIET";"Alain";"M";1950-05-19;61;"Retraités salariés privés"
"01230";"AIN";"Mantenay-Montlin";295;"LEMAIRE";"Michel";"M";1950-07-26;59;"Retr.artis.commerc.chefs d'entrep."
"01231";"AIN";"Manziat";1932;"LARDET";"Denis";"M";1967-09-05;49;"Fonctionnaires de catégorie C"
"01232";"AIN";"Marboz";2185;"GESTAS";"Alain";"M";1954-11-06;47;"Fonctionnaires de catégorie A"
"01233";"AIN";"Marchamp";124;"MARCELLI";"Jean";"M";1943-07-01;34;"Experts comptables"
"01234";"AIN";"Marignieu";148;"PUTHOD";"Bernard";"M";1958-02-12;14;"Agents technique et techniciens"
"01235";"AIN";"Marlieux";931;"GRANDJEAN";"Jean-Paul";"M";1943-07-03;60;"Retraités des professions libérales"
"01236";"AIN";"Marsonnas";1020;"ANTOINET";"Guy";"M";1953-08-23;61;"Retraités salariés privés"
"01237";"AIN";"Martignat";1595;"LOCATELLI";"Yves";"M";1948-12-05;64;"Retraités des entreprises publiques"
"01238";"AIN";"Massieux";2416;"GRISON";"Bernard";"M";1950-05-21;61;"Retraités salariés privés"
"01239";"AIN";"Massignieu-de-Rives";625;"QUINARD";"Julien";"M";1980-10-24;1;"Agriculteurs propriétaires exploit."
"01240";"AIN";"Matafelon-Granges";652;"DUPARCHY";"Jean-Pierre";"M";1954-04-21;48;"Fonctionnaires de catégorie B"
"01241";"AIN";"Meillonnas";1282;"NEVEU";"Jean-Paul";"M";1947-07-01;59;"Retr.artis.commerc.chefs d'entrep."
"01242";"AIN";"Mérignat";134;"LE CORRE";"Marie-Odile";"F";1954-02-10;65;"Autres retraités"
"01243";"AIN";"Messimy-sur-Saône";1207;"BADOIL";"Yvette";"F";1950-10-29;61;"Retraités salariés privés"
"01244";"AIN";"Meximieux";7253;"BUSSY";"Christian";"M";1949-07-20;63;"Retraités fonct.publique (sf enseig.)"
"01245";"AIN";"Bohas-Meyriat-Rignat";832;"LUEZ";"Jean-Luc";"M";1951-12-12;50;"Cadres sup. (entreprises publiques)"
"01246";"AIN";"Mézériat";2090;"ROBIN";"Etienne";"M";1953-05-03;7;"Agents d'affaires"
"01247";"AIN";"Mijoux";377;"LAPEYRERE";"Jean-Yves";"M";1962-08-07;39;"Autres professions libérales"
