"codeinsee";"libdpt";"libsubcom";"popsubcom";"nompsn";"prepsn";"civpsn";"naissance";"csp";"libcsp"
"01306";"AIN";"Pont-de-Veyle";1597;"MOUTOT";"Jean Paul";"M";1942-05-29;61;"Retraités salariés privés"
"01307";"AIN";"Port";867;"DUTRAIT";"Gérard";"M";1944-10-16;61;"Retraités salariés privés"
"01308";"AIN";"Pougny";808;"DURIEZ";"Jean-Louis";"M";1953-01-09;61;"Retraités salariés privés"
"01309";"AIN";"Pouillat";90;"CHAPUIS";"Guy";"M";1955-02-18;49;"Fonctionnaires de catégorie C"
"01310";"AIN";"Prémeyzel";224;"ROPELE";"Jean-Pierre";"M";1950-12-16;59;"Retr.artis.commerc.chefs d'entrep."
"01311";"AIN";"Prémillieu";39;"DELEAZ";"Marie-Claude";"F";1948-02-24;62;"Retraités de l'enseignement"
"01312";"AIN";"Pressiat";230;"REVEL";"Jean-Louis";"M";1954-07-24;20;"Employés (secteur privé)"
"01313";"AIN";"Prévessin-Moëns";6806;"CHARILLON";"Aurélie";"F";1976-11-29;13;"Ingénieurs"
"01314";"AIN";"Priay";1521;"THEVEAUX";"Gérard";"M";1948-05-28;61;"Retraités salariés privés"
"01316";"AIN";"Pugieu";175;"PHILIPPE";"Alain";"M";1948-12-11;61;"Retraités salariés privés"
"01317";"AIN";"Ramasse";254;"PORRIN";"Michel";"M";1949-10-06;61;"Retraités salariés privés"
"01318";"AIN";"Rancé";649;"COULON";"Brigitte";"F";1960-09-24;19;"Autres cadres (secteur privé)"
"01319";"AIN";"Relevant";473;"CURNILLON";"Christiane";"F";1950-06-05;61;"Retraités salariés privés"
"01320";"AIN";"Replonges";3601;"VERNOUX";"Bertrand";"M";1966-12-19;42;"Professeurs du secondaire et techn."
"01321";"AIN";"Revonnas";830;"ZITTEL";"Caroline";"F";1966-04-29;18;"Cadres supérieurs (secteur privé)"
"01322";"AIN";"Reyrieux";4202;"DUTRUC";"Jacky";"M";1959-04-19;5;"Industriels-Chefs entreprise"
"01323";"AIN";"Reyssouze";954;"SYLVESTRE-BARON";"Alain";"M";1950-09-26;63;"Retraités fonct.publique (sf enseig.)"
"01325";"AIN";"Rignieux-le-Franc";953;"CASTELLANI";"Jean-Marie";"M";1955-01-30;64;"Retraités des entreprises publiques"
"01328";"AIN";"Romans";590;"GAUTHIER";"Jean Michel";"M";1953-04-16;61;"Retraités salariés privés"
"01329";"AIN";"Rossillon";150;"BOUVIER";"Georges";"M";1954-04-22;64;"Retraités des entreprises publiques"
"01330";"AIN";"Ruffieu";202;"PILLARD";"Eric";"M";1962-06-07;20;"Employés (secteur privé)"
"01331";"AIN";"Saint-Alban";164;"DE VECCHI";"Béatrice";"F";1968-04-03;57;"Sans profession déclarée"
"01332";"AIN";"Saint-André-de-Bâgé";669;"CLERE";"Daniel";"M";1948-04-10;62;"Retraités de l'enseignement"
"01333";"AIN";"Saint-André-de-Corcy";2975;"BARON";"Jean-Pierre";"M";1947-05-12;61;"Retraités salariés privés"
"01334";"AIN";"Saint-André-d'Huiriat";541;"DUBOST";"Michel";"M";1952-11-16;58;"Retraités agricoles"
"01335";"AIN";"Saint-André-le-Bouchoux";327;"JAYR";"Alain";"M";1948-04-02;58;"Retraités agricoles"
"01336";"AIN";"Saint-André-sur-Vieux-Jonc";1091;"QUIVET";"Bernard";"M";1952-01-17;62;"Retraités de l'enseignement"
"01337";"AIN";"Saint-Bénigne";1185;"WILLIG";"Jean-Jacques";"M";1953-03-04;42;"Professeurs du secondaire et techn."
"01338";"AIN";"Saint-Benoît";792;"PLANTIN";"Guy";"M";1949-04-07;58;"Retraités agricoles"
"01339";"AIN";"Saint-Bernard";1386;"REY";"Bernard";"M";1958-08-22;54;"Permanents politiques"
"01340";"AIN";"Saint-Bois";127;"VUILLEROD";"René";"M";1958-10-24;48;"Fonctionnaires de catégorie B"
"01341";"AIN";"Saint-Champ";144;"GAMBERINI";"Paul";"M";1942-01-02;62;"Retraités de l'enseignement"
"01342";"AIN";"Sainte-Croix";530;"LEVRAT";"Michel";"M";1962-09-23;1;"Agriculteurs propriétaires exploit."
"01343";"AIN";"Saint-Cyr-sur-Menthon";1674;"CHALTON";"Alain";"M";1949-09-06;61;"Retraités salariés privés"
"01344";"AIN";"Saint-Denis-lès-Bourg";5492;"FAUVET";"Guillaume";"M";1972-03-14;47;"Fonctionnaires de catégorie A"
"01345";"AIN";"Saint-Denis-en-Bugey";2154;"COLLIGNON";"Pascal";"M";1957-07-22;64;"Retraités des entreprises publiques"
"01346";"AIN";"Saint-Didier-d'Aussiat";876;"PICARD";"Catherine";"F";1952-09-21;47;"Fonctionnaires de catégorie A"
"01347";"AIN";"Saint-Didier-de-Formans";1775;"VALLOS";"Frédéric";"M";1963-02-27;49;"Fonctionnaires de catégorie C"
"01348";"AIN";"Saint-Didier-sur-Chalaronne";2768;"LUGA GIRAUD";"Muriel";"F";1960-09-17;56;"Autres professions"
"01349";"AIN";"Saint-Eloi";419;"SELIGNAN";"Jacqueline";"F";1951-04-10;57;"Sans profession déclarée"
"01350";"AIN";"Saint-Etienne-du-Bois";2465;"CHAPUIS";"Alain";"M";1970-11-25;21;"Ouvriers (secteur privé)"
"01351";"AIN";"Saint-Etienne-sur-Chalaronne";1479;"VARVIER";"Serge";"M";1952-02-17;63;"Retraités fonct.publique (sf enseig.)"
"01352";"AIN";"Saint-Etienne-sur-Reyssouze";540;"MARGUIN";"Jean-Pierre";"M";1955-11-20;20;"Employés (secteur privé)"
"01353";"AIN";"Sainte-Euphémie";1531;"SANLAVILLE";"Anny";"F";1963-04-30;22;"Assistantes sociales"
"01354";"AIN";"Saint-Genis-Pouilly";9186;"BERTRAND";"Hubert";"M";1946-12-05;59;"Retr.artis.commerc.chefs d'entrep."
"01355";"AIN";"Saint-Genis-sur-Menthon";428;"GREFFET";"Christophe";"M";1967-07-07;18;"Cadres supérieurs (secteur privé)"
"01356";"AIN";"Saint-Georges-sur-Renon";203;"PAPILLON";"Jacques";"M";1946-03-29;62;"Retraités de l'enseignement"
"01357";"AIN";"Saint-Germain-de-Joux";477;"THOMASSET";"Gilles";"M";1957-06-14;20;"Employés (secteur privé)"
"01358";"AIN";"Saint-Germain-les-Paroisses";397;"CASTIN";"Régis";"M";1972-11-25;48;"Fonctionnaires de catégorie B"
"01359";"AIN";"Saint-Germain-sur-Renon";233;"MONIER";"Christophe";"M";1964-06-08;49;"Fonctionnaires de catégorie C"
"01360";"AIN";"Saint-Jean-de-Gonville";1498;"BRULHART";"Michel";"M";1955-11-10;1;"Agriculteurs propriétaires exploit."
"01361";"AIN";"Saint-Jean-de-Niost";1429;"HERMAN";"Jean-Pierre";"M";1946-12-30;59;"Retr.artis.commerc.chefs d'entrep."
"01362";"AIN";"Saint-Jean-de-Thurigneux";757;"BAISE";"Christian";"M";1951-10-26;1;"Agriculteurs propriétaires exploit."
"01363";"AIN";"Saint-Jean-le-Vieux";1606;"BATAILLY";"Christian";"M";1955-09-06;39;"Autres professions libérales"
